Painting - Interior,,,,,,,,,,,,,,,Termite Treatment,,,,Valves,,,Supply Lines
Painting - Other,,,,,,,,,,,,,,,Tile Shower,,,,Wallpaper Removal,,,Switch Covers
Painting - Stain,,,,,,,,,,,,,,,Toilets,,,,Water Remediation,,,Termite Treatment
Permit Costs,,,,,,,,,,,,,,,Trash Out/Debris Removal,,,,Waterproofing,,,Tile Shower
Permits & Fees,,,,,,,,,,,,,,,Valves,,,,Window Treatments,,,Toilets
Pest Control,,,,,,,,,,,,,,,Wallpaper Removal,,,,Windows/Glass,,,Trash Out/Debris Removal
Plumbing,,,,,,,,,,,,,,,Water Remediation,,,,,,,Valves
Plumbing Fixtures,,,,,,,,,,,,,,,Waterproofing,,,,,,,Wallpaper Removal
Pool,,,,,,,,,,,,,,,Window Treatments,,,,,,,Water Remediation
Pressure Wash,,,,,,,,,,,,,,,Windows/Glass,,,,,,,Waterproofing
Property Assessment,,,,,,,,,,,,,,,,,,,,,,Window Treatments
Punch List Items,,,,,,,,,,,,,,,,,,,,,,Windows/Glass
ReKey,,,,,,,,,,,,,,,,,,,,,,
Remove Bushes,,,,,,,,,,,,,,,,,,,,,,
Remove Tree,,,,,,,,,,,,,,,,,,,,,,
Roof  Repairs,,,,,,,,,,,,,,,,,,,,,,
Roof Replacement,,,,,,,,,,,,,,,,,,,,,,
Satellite Dish Removal,,,,,,,,,,,,,,,,,,,,,,
Screens,,,,,,,,,,,,,,,,,,,,,,
Septic,,,,,,,,,,,,,,,,,,,,,,
Service Date,,,,,,,,,,,,,,,,,,,,,,
SGF CONTRACTING SERVICES,,,,,,,,,,,,,,,,,,,,,,
Shower Head,,,,,,,,,,,,,,,,,,,,,,
Showers,,,,,,,,,,,,,,,,,,,,,,
Siding,,,,,,,,,,,,,,,,,,,,,,
Sinks,,,,,,,,,,,,,,,,,,,,,,
Skylights,,,,,,,,,,,,,,,,,,,,,,
Smoke / CO2 Detectors,,,,,,,,,,,,,,,,,,,,,,
Storage Costs,,,,,,,,,,,,,,,,,,,,,,
Subcontractor Services,,,,,,,,,,,,,,,,,,,,,,
Sump Pump,,,,,,,,,,,,,,,,,,,,,,
Supply Lines,,,,,,,,,,,,,,,,,,,,,,
Switch Covers,,,,,,,,,,,,,,,,,,,,,,
Termite Treatment,,,,,,,,,,,,,,,,,,,,,,
Tile Shower,,,,,,,,,,,,,,,,,,,,,,
Toilets,,,,,,,,,,,,,,,,,,,,,,
Trash Out / Debris Removal,,,,,,,,,,,,,,,,,,,,,,
Trim Bushes,,,,,,,,,,,,,,,,,,,,,,
Trim Tree,,,,,,,,,,,,,,,,,,,,,,
Trim Work,,,,,,,,,,,,,,,,,,,,,,
Utilities,,,,,,,,,,,,,,,,,,,,,,
Valves,,,,,,,,,,,,,,,,,,,,,,
Vent Covers,,,,,,,,,,,,,,,,,,,,,,
Wallpaper Removal,,,,,,,,,,,,,,,,,,,,,,
Water Remediation,,,,,,,,,,,,,,,,,,,,,,
Water Service,,,,,,,,,,,,,,,,,,,,,,
Waterproofing,,,,,,,,,,,,,,,,,,,,,,
Well,,,,,,,,,,,,,,,,,,,,,,
Window Treatments,,,,,,,,,,,,,,,,,,,,,,
Windows / Glass,,,,,,,,,,,,,,,,,,,,,,
